year,merit,settled,settled_other,dismissed,kickout,withdrawn
2009,57,277,116,1221,0,272
2010,45,312,138,1182,0,278
2011,48,400,157,1110,23,278
2012,48,406,187,1662,48,518
2013,74,527,333,1596,73,669
2014,64,441,305,1652,99,710
